simbad_id,ra_deg,dec_deg,n_refs,n_matched,n_failed,status
[GGH2002] EIS J033121.79-273515.8,52.84079113773,-27.587747553400003,278,261,0,ok
[GGH2002] EIS J033257.54-273530.4,53.23975296193,-27.59176568553,280,267,0,ok
[GGH2002] EIS J033139.67-280320.0,52.9152694377,-28.05556964502,254,234,0,ok
[WDK2001] 32361,52.82293003289,-27.8084714732,279,261,0,ok
[GGH2002] EIS J033324.60-280331.7,53.352500000000006,-28.05880555555556,260,243,0,ok
2MASS J03330281-2757255,53.26170833333333,-27.957111111111107,271,2,0,ok
2MASS J03324476-2801218,53.18660187414001,-28.022720812639992,270,1,0,ok
2MASS J03320571-2750149,53.02390839929999,-27.8373183337,272,252,0,ok
2MASS J03325222-2740400,53.21764659859001,-27.677866282240004,276,256,0,ok
VCDFS  35841,53.29756033100001,-27.67984819392,271,257,0,ok
2MASS J03311577-2749183,52.81578630293,-27.82171436191,278,256,0,ok
[MBR2003] CDFS-H 4469,53.12083576132,-28.00995554664,273,256,0,ok
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,268,250,0,ok
2MASS J03314017-2735519,52.91724775317999,-27.597860032160003,276,258,0,ok
[GGH2002] EIS J033118.20-274900.6,52.82582174683,-27.81685399466,280,260,0,ok
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,269,247,0,ok
2MASS J03330116-2746553,53.25497017987999,-27.7819525398,255,233,0,ok
2MASS J03312920-2756476,52.87183445019,-27.946505970019995,276,254,0,ok
[GGH2002] EIS J033124.57-280039.5,52.85237017026,-28.01098666217,271,256,0,ok
[WDK2001] 49034,53.323826247620005,-27.6783741814,268,255,0,ok
[PBM2009] s9247,53.18815280828,-27.92585184797,248,230,0,ok
[MBR2003] CDFS-H 1772,52.93706346145,-27.79397124886,264,248,0,ok
VCDFS  14769,53.05211541756,-27.92307928795,271,255,0,ok
2MASS J03311905-2742218,52.82939808789,-27.705955271699995,280,258,0,ok
GOODS J033224.49-275622.2,53.10207866281,-27.93957451179,247,227,0,ok
[MBR2003] CDFS-H 1560,52.88884235012,-27.78623239144,277,263,0,ok
[WDK2001] 59346,53.27246050717,-27.59792340108,277,258,0,ok
2MASS J03330143-2735325,53.25602209084,-27.59242381496,278,258,0,ok
2MASS J03331206-2801111,53.30025,-28.019777777777776,272,252,0,ok
2MASS J03325108-2737306,53.21288610657,-27.6252261072,267,246,0,ok
2MASS J03325419-2733338,53.22578831599,-27.55955489403,277,260,0,ok
[GGH2002] EIS J033339.86-274347.3,53.41609140743999,-27.72980978578,258,244,0,ok
2MASS J03331689-2745417,53.320491424450005,-27.761552661149995,278,258,0,ok
[WDK2001] 35889,52.92271852066,-27.77984069078,248,229,0,ok
[MBR2003] CDFS-H  141,52.89273928415,-27.58405343762,282,261,0,ok
[GGH2002] EIS J033332.10-273806.7,53.38375130268,-27.635180024930005,257,240,0,ok
2MASS J03323233-2742032,53.13470358038,-27.70080346236,260,237,0,ok
[MBR2003] CDFS-H  179,52.97987592234999,-27.59524324533,273,256,0,ok
[GGH2002] EIS J033114.39-280253.6,52.80995513393,-28.04821835134,275,261,0,ok
[GGH2002] EIS J033217.32-280300.8,53.07213301714,-28.0502436813,279,268,0,ok
[MBR2003] CDFS-H 3915,53.15613817153999,-27.94520098819,269,252,0,ok
[GGH2002] EIS J033113.20-274536.3,52.80499068606,-27.76011977528,264,255,0,ok
[WDK2001]  7493,53.02145288567,-28.01026614457,270,254,0,ok
[MBR2003] CDFS-H  582,52.81581706656001,-27.662504516010003,266,255,0,ok
[GGH2002] EIS J033154.37-280025.2,52.97653734238,-28.00697834449,276,253,0,ok
[GGH2002] EIS J033207.74-273846.5,53.03220833333333,-27.646175,281,206,0,ok
2MASS J03331908-2741550,53.32969434443,-27.698476674250003,266,230,0,ok
[WDK2001] 45108,53.15006158933001,-27.70874705139,263,239,0,ok
[MBR2003] CDFS-H  264,53.0398745091,-27.58593253789,268,252,0,ok
[GGH2002] EIS J033323.71-273528.0,53.34877400972001,-27.591116572680004,262,244,0,ok
[GGH2002] EIS J033318.26-273826.9,53.32605556043,-27.64079943279,254,235,0,ok
[WDK2001] 54684,53.17141103189,-27.63503275591,269,241,0,ok
EIS-DEEP CDFS-1 Ks 1  386,53.04147949112,-27.759803317540005,275,252,0,ok
[WDK2001] 59366,53.10307172761001,-27.59703700001999,261,253,0,ok
2MASS J03313053-2757269,52.87717864405,-27.957464113430003,284,262,0,ok
[WDK2001] 28964,52.99866980565,-27.836195535960005,274,256,0,ok
2MASS J03323905-2801191,53.16290917293,-28.02195673985,272,257,0,ok
[MBR2003] CDFS-H  157,52.96140413855001,-27.58895723455,279,264,0,ok
[GGH2002] EIS J033342.89-273533.8,53.42869527043,-27.59270796475,270,262,0,ok
[WDK2001] 42857,53.2337625417,-27.72664546634,272,254,0,ok
[MBR2003] CDFS-H 3354,53.2435325293,-27.832019042740004,258,241,0,ok
[GGH2002] EIS J033304.80-273301.2,53.269980567880005,-27.55034557603,274,255,0,ok
[GGH2002] EIS J033146.25-273323.7,52.94270280985,-27.556621575340003,280,267,0,ok
2MASS J03320769-2747316,53.03191123745,-27.79215038262,277,254,0,ok
[MBR2003] CDFS-H 4758,53.38051911291,-27.98564410225,267,246,0,ok
[GGH2002] EIS J033123.28-273722.6,52.84698209553,-27.62299572302,271,252,0,ok
[WDK2001] 46194,53.13979844323,-27.7002085813,277,250,0,ok
[GGH2002] EIS J033307.70-273605.2,53.28208533216,-27.60144076494,263,246,0,ok
[GGH2002] EIS J033155.21-273410.0,52.98003180949,-27.56945160697,278,258,0,ok
2MASS J03320710-2733412,53.02951216012001,-27.56151713969,268,254,0,ok
[MBR2003] CDFS-H  173,52.97697519620001,-27.5850487405,280,2,0,ok
[GGH2002] EIS J033139.82-273404.5,52.91593044357,-27.567946839460003,278,257,0,ok
[WDK2001]  7358,53.1127977167,-28.01080351779,265,241,0,ok
[GGH2002] EIS J033141.09-273308.1,52.92119904745999,-27.552298375440003,280,262,0,ok
[WDK2001]  8200,53.05982269132,-28.0047785671,262,241,0,ok
[GGH2002] EIS J033306.02-273314.5,53.27508235602,-27.55403320853,272,251,0,ok
[GGH2002] EIS J033112.12-274106.7,52.80043721303,-27.68526070678,275,257,0,ok
[PBM2009] s74928,53.17673227245,-27.79974415463,268,243,0,ok
[GGH2002] EIS J033157.85-280151.9,52.99105811264,-28.03107596087,279,252,0,ok
[MBR2003] CDFS-H 4055,53.24426517216,-27.916695553250005,271,255,0,ok
2MASS J03311450-2748016,52.81043471897,-27.80045716466,274,249,0,ok
[GGH2002] EIS J033122.49-273302.9,52.84372529814001,-27.55084828755,279,257,0,ok
[WDK2001] 48745,52.98232046377,-27.68011524518,243,227,0,ok
2MASS J03311605-2735188,52.816809980630005,-27.588613769250003,276,259,0,ok
[GGH2002] EIS J033158.14-280241.8,52.99241500230001,-28.0450165435,268,250,0,ok
GNS 4697,53.11803281109,-27.80213715948,272,251,0,ok
[GGH2002] EIS J033218.32-280247.4,53.07631708165,-28.04650250574,281,263,0,ok
[GGH2002] EIS J033229.42-280340.6,53.12258333333333,-28.06127777777778,285,270,0,ok
GOODS J033238.05-273957.1,53.15852816908,-27.66593383155,281,259,0,ok
2MASS J03333348-2749159,53.38949635035,-27.82114449931,265,248,0,ok
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,270,244,0,ok
[GGH2002] EIS J033203.44-275058.6,53.01426905981,-27.84961311756,272,245,0,ok
2MASS J03330852-2748156,53.28546607838,-27.80450597426,263,243,0,ok
[WDK2001] 39614,52.91163484429,-27.75003024258,257,241,0,ok
[MBR2003] CDFS-H 3464,53.30007802088,-27.82312437954,261,246,0,ok
[WDK2001] 21178,52.89031931148,-27.899650444790005,264,240,0,ok
2MASS J03312960-2735296,52.87332630438,-27.591544044039995,270,249,0,ok
[MBR2003] CDFS-H 4461,53.11647894219,-27.96161861089,267,249,0,ok
[WDK2001] 16388,53.19551411012999,-27.93905582571,255,12,0,ok
[GGH2002] EIS J033155.10-273320.6,52.979592680070006,-27.555730686379995,265,245,0,ok
[GGH2002] EIS J033128.63-275817.1,52.8693175618,-27.9714479314,283,258,0,ok
GOODS J033231.29-274032.4,53.13039135544,-27.67574915813,270,254,0,ok
VCDFS  24198,52.94049979958,-27.813220372730004,285,260,0,ok
[WDK2001] 15771,53.133864015810005,-27.94358097657,243,233,0,ok
[MBR2003] CDFS-H 1257,53.21041218423,-27.676380696700004,269,247,0,ok
[PBM2009] s128247,53.096601921410006,-27.69426512196,249,228,0,ok
[MBR2003] CDFS-H  442,53.12866727878999,-27.61147335415,261,241,0,ok
[WDK2001] 29425,52.93417471625,-27.83263881969,274,248,0,ok
[MBR2003] CDFS-H 3752,53.05807321794,-27.951792367960003,275,247,0,ok
GOODS-MUSIC 17561,53.13127325579999,-27.68338191925,261,232,0,ok
EIS-DEEP CDFS-3 Ks 1  369,53.07040150598,-27.84211450588,285,256,0,ok
[MBR2003] CDFS-H 4148,53.31594853135,-27.945389841310007,279,254,0,ok
2MASS J03315378-2800493,52.97409920721,-28.01370550961,280,258,0,ok
[WDK2001] 32085,52.90573623475,-27.8107995425,248,233,0,ok
[GGH2002] EIS J033318.90-273501.3,53.3287286312,-27.58368001367,262,243,0,ok
[MBR2003] CDFS-H 3884,53.13659856344999,-27.91061397797,278,247,0,ok
[GGH2002] EIS J033128.15-280344.7,52.86724543311,-28.06243781859,276,261,0,ok
VCDFS  29139,52.99830405756,-27.75303803947,278,256,0,ok
[MBR2003] CDFS-H 1354,53.27888998936999,-27.69945951797,263,250,0,ok
[GGH2002] EIS J033311.90-280408.0,53.29960371648999,-28.06887709695,278,255,0,ok
2MASS J03330190-2747013,53.25784214044,-27.783694161440003,258,237,0,ok
[GGH2002] EIS J033127.67-273315.0,52.86524425326001,-27.554171580390005,278,254,0,ok
[WDK2001] 21981,52.98413645243999,-27.89249866556,284,266,0,ok
[GGH2002] EIS J033334.35-273305.6,53.39306113881,-27.55154689818,269,256,0,ok
GOODS-MUSIC 17793,53.15070668919999,-27.67846799696,270,247,0,ok
[GGH2002] EIS J033339.22-280137.4,53.4133745068,-28.026998901310005,273,252,0,ok
2MASS J03331061-2801505,53.29416376881,-28.030778879010004,264,240,0,ok
VCDFS   9822,53.209909548990005,-27.98086117033,257,230,0,ok
[GGH2002] EIS J033205.35-280334.6,53.02229865163,-28.05959831158,272,241,0,ok
[MBR2003] CDFS-H 3483,53.39076672381001,-27.801041327190003,270,245,0,ok
[MBR2003] CDFS-H  278,53.04739154984,-27.60537073209,248,237,0,ok
[GGH2002] EIS J033341.16-274527.2,53.42149659574,-27.75756929436,272,249,0,ok
